Céramique;Indéterminé;;
;Conteneur;Amphore;Dressel 1a
;;;Dressel 1b
;;Dolium;
;;Autres;
;Fine;Import;Cannelée
;;;Graphitée
;;;Excisée
;;;Céramique polychrome Br- Ha
;;;Alb-Hegau
;;;Tène balustre
;;;Molette tardive
;;;Arétine
;;;Sigillée
;;;Peignée
;;;Campanienne
;;;Pot Besançon
;;Locale;Cannelée
;;;Graphitée
;;;Excisée
;;;Céramique polychrome Br- Ha
;;;Alb-Hegau
;;;Tène balustre
;;;Molette tardive
;;;Arétine
;;;Sigillée
;;;Peignée
;;;Campanienne
;;;Pot Besançon
;;Les deux;Cannelée
;;;Graphitée
;;;Excisée
;;;Céramique polychrome Br- Ha
;;;Alb-Hegau
;;;Tène balustre
;;;Molette tardive
;;;Arétine
;;;Sigillée
;;;Peignée
;;;Campanienne
;;;Pot Besançon
;Tuile;Inscription;
;Brique;Inscription;
Métal;Armement;Epée;
;;Lance;
;;Casque;
;Harnachement;Char;
;Parure;Fibule;Fibule S4
;;;Fibule S5
;;;Fibule P1
;;Plaques de ceinture Hallstattienne;
;;Parure annulaire;
;;Epingle vasiforme;
;;Plaque boucle;
;Outils;Faucille;
;;Marteau;
;;Hache;
;;Couteau;
;Autres;Verre;
Monnaies;Or;Sanglier;
;;Grosse tête;
;;Kaletu;
;;Boyenne;
;;Denier;
;;Sesterce;
;;Bas empire;
;Argent;Sanglier;
;;Grosse tête;
;;Kaletu;
;;Boyenne;
;;Denier;
;;Sesterce;
;;Bas empire;
;Bronze;Sanglier;
;;Grosse tête;
;;Kaletu;
;;Boyenne;
;;Denier;
;;Sesterce;
;;Bas empire;
;Potin;Sanglier;
;;Grosse tête;
;;Kaletu;
;;Boyenne;
;;Denier;
;;Sesterce;
;;Bas empire;
Lithique;Silex;;
;Meule;;
