"Diagnostic négatif #  Ergebnislose Bohrung";;;
"Analyses # Analysen";"14C # 14C";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Anthracologie # Anthrakologie";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Anthropologie # Anthropologie";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Carpologie # Karpologie";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Dendrochronologie # Dendrochronologie";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Entomologie # Entomologie";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Faune # Fauna";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Malacofaune # Malacofauna";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Paléomagnetisme # Paläomagnetik";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Palynologie # Palynologie";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Percolation des vases # Perkolation der Keramik";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Phytolithes # Phytolithes";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
"Formation superficielle # Boden";"Analyses # Analysen";"Non renseigné # Nicht dokumentiert";"Non renseigné # Nicht dokumentiert"
;;;"Extrasite # Ausserhalb einer Fundstelle"
;;;"Intrasite # In einer Fundstelle"
;;"Autres # Andere";"Non renseigné # Nicht dokumentiert"
;;;"Extrasite # Ausserhalb einer Fundstelle"
;;;"Intrasite # In einer Fundstelle"
;;"Granulométrie # Korngrößenverteilung";"Non renseigné # Nicht dokumentiert"
;;;"Extrasite # Ausserhalb einer Fundstelle"
;;;"Intrasite # In einer Fundstelle"
;;"Hydrologie # Hydrologie";"Non renseigné # Nicht dokumentiert"
;;;"Extrasite # Ausserhalb einer Fundstelle"
;;;"Intrasite # In einer Fundstelle"
;;"Pédologie # Pedologie ";"Non renseigné # Nicht dokumentiert"
;;;"Extrasite # Ausserhalb einer Fundstelle"
;;;"Intrasite # In einer Fundstelle"
;;"Phosphates # Phosphaten";"Non renseigné # Nicht dokumentiert"
;;;"Extrasite # Ausserhalb einer Fundstelle"
;;;"Intrasite # In einer Fundstelle"
;"Paléochenal daté # Datierte Paläofahrrinne";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Paléosol # Paläoboden";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Petrologie # Petrologie";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
;"Sédimentologie # Sedimentologie";"Non renseigné # Nicht dokumentiert";
;;"Extrasite # Ausserhalb einer Fundstelle";
;;"Intrasite # In einer Fundstelle";
"Structure agraire # Agrar";"Indéterminé # Unbestimmt";;
;"Crêtes de labours_Ackerberg  # Ackerberg";;
;"Champ bombé  # Wölbacker";;
;"Enclos # Schanze";;
;"Muret # Trennmauer";;
;"Murger_Steinrudel # Steinrudel ";"Non renseigné # Nicht dokumentiert";
;;"Autres # Andere";
;;"Calcaire # Kalk";
;;"Gneiss # Gneis";
;;"Granite # Granit";
;;"Grès # Sandstein";
;"Parcellaire fossile # Altflur";;
;"Rideau de culture # Terrassen Raine";;
;"Terrasse agricole # Ackerterrasse";;
